Country,Getting Credit,Enforcing Contracts,Starting a Business,Ease of Doing Business,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,10.0,31.75645,91.99116,44.06497,438,543,591,642,637,614,578,547,556,521
Albania,14.0,53.516980000000004,91.75909,67.74847,4114,4094,4437,4248,4413,4579,3953,4124,4533,5269
Algeria,2.0,54.78094,78.01386,48.59758,3883,4481,5456,5592,5500,5493,4178,3946,4044,4115
Angola,1.0,28.11028,79.4006,41.28838,3123,3588,4615,5100,5255,5408,4167,3506,4096,3432
Antigua and Barbuda,5.0,68.11245,82.58503,60.28341999999999,14113,13049,12746,13272,12910,13502,14286,15198,15383,16727
Argentina,10.0,57.508759999999995,80.43345,58.96151,8225,10386,12849,13083,13080,12335,13789,12790,14592,11684
Armenia,14.0,69.70613,96.08549000000001,74.49401,2994,3218,3526,3682,3838,3986,3607,3592,3915,4212
Australia,19.0,79.00404,96.59675,81.21506,42772,52022,62518,68012,68150,62511,56756,49971,54066,57374
Austria,11.0,75.4859,83.24964,78.74549,47963,46858,51375,48568,50717,51717,44178,45238,47432,51462
Azerbaijan,20.0,70.29273,96.15716,76.70888000000001,4950,5843,7190,7496,7876,7891,5500,3881,4147,4721
"Bahamas, The",6.0,59.070809999999994,87.03235,59.87155,28552,28443,28006,29486,28768,29445,31406,31589,31827,32218
Bahrain,11.0,63.787980000000005,89.59156,76.02665,19356,20722,22514,23654,24744,24989,22689,22619,23715,24051
Bangladesh,9.0,22.21285,82.36901,45.04865,702,781,862,883,982,1119,1248,1402,1564,1698
Barbados,6.0,38.94721,86.36698,57.90615,15886,16056,16459,16250,16452,16489,16562,16937,17432,17949
Belarus,10.0,67.58417,93.52188000000001,74.29113000000001,5351,6181,6519,6940,7979,8319,5949,5023,5762,6290
Belgium,13.0,64.25069,92.32016999999999,74.98904,44584,44142,47349,44673,46745,47701,40992,42012,44220,47519
Belize,4.0,50.11487,72.01481,55.47444,4243,4271,4423,4506,4569,4706,4776,4818,4888,4885
Benin,6.0,41.50359,90.62416999999999,52.40404,793,758,827,838,916,945,784,789,829,902
Bhutan,11.0,69.98871,86.35499,65.97305,1819,2258,2563,2539,2473,2652,2753,2931,3287,3243
Bolivia,7.0,55.572590000000005,69.36413,51.65574,1754,1955,2346,2610,2908,3082,3036,3077,3351,3549
Bosnia and Herzegovina,13.0,57.8203,60.034440000000004,65.44253,4715,4636,5093,4779,5131,5330,4727,4995,5395,6066
Botswana,12.0,49.98989,76.22695,66.1978,5256,6435,7617,7878,7225,7781,6800,7244,7893,8259
Brazil,10.0,64.07953,81.29475,59.08306999999999,8598,11286,13246,12370,12300,12113,8814,8713,9881,8921
Brunei Darussalam,20.0,62.801759999999994,94.93346,70.06387,27956,35270,47056,47742,44740,41727,31165,27158,28572,31628
Bulgaria,13.0,67.04333000000001,85.39816,71.97405,6970,6843,7814,7378,7647,7865,6994,7469,8228,9273
Burkina Faso,6.0,41.052279999999996,88.17363,51.40019,553,575,667,674,700,704,575,583,642,715
Burundi,3.0,42.974059999999994,92.92286,46.77393,212,234,250,252,257,275,306,282,293,272
Cabo Verde,7.0,64.83565,84.46854,55.03925,3517,3378,3740,3448,3616,3589,3043,3131,3293,3635
Cambodia,16.0,31.74863,52.42046,53.84483,738,786,882,951,1013,1093,1163,1279,1385,1510
Cameroon,12.0,39.91137,86.27056,46.099740000000004,1315,1285,1403,1355,1465,1541,1327,1363,1422,1534
Canada,17.0,57.12838000000001,98.23581,79.64043000000001,40773,47450,52102,52542,52505,50836,43495,42280,45070,46233
Central African Republic,7.0,31.389090000000003,63.19125,35.56585,475,488,551,566,380,424,377,402,450,476
Chad,6.0,45.50991,52.51976,36.93568,800,892,983,967,980,1019,776,693,664,728
Chile,11.0,64.72224,91.42747,72.58023,10209,12808,14637,15352,15843,14671,13574,13748,15037,15923
China,12.0,80.91292,94.0921,77.9313,3832,4550,5618,6317,7051,7651,8033,8079,8759,9771
Colombia,18.0,34.28541,87.02499,70.05964,5195,6327,7324,8043,8213,8114,6176,5871,6376,6668
Comoros,8.0,32.97207,76.48653,47.87291,1339,1315,1446,1403,1505,1512,1242,1272,1321,1415
"Congo, Dem. Rep.",6.0,33.28015,91.62606,36.20973,299,334,387,425,458,487,497,471,467,562
"Congo, Rep.",8.0,43.99406,65.79674,39.533590000000004,2314,2810,3282,3033,3047,2993,1761,1814,1703,2148
Costa Rica,17.0,55.185390000000005,79.914,69.2383,6760,8142,9122,9913,10490,10547,11299,11666,11753,12027
Croatia,10.0,70.59806999999999,85.28107,73.62096,14556,13924,14567,13238,13642,13600,11783,12360,13412,14910
Cyprus,12.0,48.593790000000006,92.03844000000001,73.35105,32106,30818,32234,28985,27942,27407,23217,24019,25761,28159
Czech Republic,14.0,56.37744,82.06409000000001,76.34054,19742,19808,21717,19730,19916,19745,17716,18463,20380,23079
Denmark,14.0,73.921,92.70453,85.28856,58163,58041,61754,58508,61191,62549,53255,54664,57141,61350
Djibouti,8.0,48.43056,84.29874000000001,60.49674,1267,1343,1452,1559,2313,2466,2676,2818,2931,3083
Dominica,6.0,57.53493,89.32369,60.54796999999999,6903,6967,7065,6848,7017,7318,7596,8081,7275,7691
Dominican Republic,9.0,50.56409,85.43876999999999,59.98866999999999,5039,5555,5913,6110,6238,6609,6922,7281,7609,8051
Ecuador,9.0,57.53154,69.11291,57.7227,4232,4634,5201,5682,6056,6377,6124,6060,6214,6345
"Egypt, Arab Rep.",13.0,39.970859999999995,87.83591,60.05364,2329,2645,2792,3233,3264,3379,3599,3525,2441,2549
El Salvador,16.0,51.85391,78.63584,65.25247,2858,2983,3266,3428,3510,3589,3706,3800,3902,4058
Equatorial Guinea,8.0,56.1746,60.963930000000005,41.052859999999995,16668,17272,21614,21712,20385,19368,11279,9244,9738,10262
Estonia,14.0,76.06447,95.35989000000001,80.61685,14795,14784,17624,17534,19174,20367,17522,18237,20338,23266
Eswatini,11.0,36.71665,77.19821999999999,59.49273,3386,4169,4497,4528,4230,4039,3690,3448,3953,4146
Ethiopia,3.0,62.76565,71.70191,47.97613,381,342,354,467,500,567,641,717,768,772
Fiji,5.0,57.05174,73.56195,61.478919999999995,3363,3653,4371,4592,4841,5606,5391,5651,6101,6267
Finland,12.0,66.39798,93.46643,80.17834,47294,46460,51082,47711,49878,50260,42811,43777,46192,50152
France,10.0,73.46777,93.14713,76.80465,41575,40638,43791,40875,42593,43009,36613,36962,38679,41464
Gabon,8.0,32.83538,86.97388000000001,45.0251,7690,8841,10796,9814,9681,9651,7382,6980,7213,7953
"Gambia, The",6.0,50.88268,84.57777,50.29381,833,861,763,743,701,607,661,683,680,716
Georgia,17.0,75.04436,99.61764000000001,83.73393,2823,3233,4022,4422,4624,4739,4014,4062,4357,4717
Germany,14.0,74.09779,83.67435,79.71004,41486,41532,46645,43858,46286,47960,41140,42099,44240,47603
Ghana,12.0,53.99706,84.96239,59.96017,1075,1298,1558,1613,2378,1969,1766,1931,2026,2202
Greece,9.0,48.12003,95.99593,68.42390999999999,29711,26918,25916,22243,21875,21761,18168,18116,18883,20324
Grenada,6.0,59.33193000000001,87.96368000000001,53.444880000000005,7291,7258,7291,7445,7790,8370,9097,9628,10164,10640
Guatemala,17.0,34.54568,86.80156,62.59562,2636,2825,3188,3300,3453,3688,3924,4141,4471,4549
Guinea,6.0,53.87195,84.45567,49.42922,674,672,651,717,769,787,769,733,856,879
Guinea-Bissau,6.0,38.61288,75.49544,43.23319,557,558,703,616,634,622,603,661,737,778
Guyana,11.0,57.87369,85.60068000000001,55.49196,2757,3033,3425,3788,3935,4032,4166,4543,4586,4979
Haiti,7.0,51.56601,36.431509999999996,40.72493,672,666,744,770,816,832,816,735,766,868
Honduras,16.0,44.18695,71.36012,56.26791,1790,1904,2088,2144,2103,2206,2302,2343,2450,2500
Hungary,15.0,70.97665,88.19171999999999,73.41584,13046,13114,14151,12918,13687,14246,12652,12992,14458,16162
Iceland,11.0,69.10372,90.64966,78.96154,41333,43025,47517,45910,49522,54242,52429,61758,71315,73191
India,16.0,41.19173,81.60138,71.04511,1102,1358,1458,1444,1450,1574,1606,1729,1981,2010
Indonesia,14.0,49.08521,81.20898000000001,69.57879,2261,3122,3643,3694,3624,3492,3332,3563,3837,3894
Iraq,0.0,48.0168,77.25113,44.70443,3854,4657,6045,6836,7077,6819,4990,4777,5205,5834
