Country,Getting Credit,Enforcing Contracts,Starting a Business,Ease of Doing Business,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,10.0,31.75645,91.99116,44.06497,21.39,14.36,0.43,12.75,5.6,2.72,1.45,2.26,2.67,1.03
Albania,14.0,53.516980000000004,91.75909,67.74847,3.35,3.71,2.55,1.42,1.0,1.77,2.22,3.31,3.82,4.15
Algeria,2.0,54.78094,78.01386,48.59758,1.6,3.6,2.9,3.4,2.8,3.8,3.7,3.2,1.3,1.4
Angola,1.0,28.11028,79.4006,41.28838,0.86,4.86,3.47,8.54,4.95,4.82,0.94,-2.58,-0.15,-2.13
Antigua and Barbuda,5.0,68.11245,82.58503,60.28341999999999,-12.11,-7.57,-1.96,3.37,-0.6,3.8,3.83,5.5,3.15,7.39
Argentina,10.0,57.508759999999995,80.43345,58.96151,-5.92,10.13,6.0,-1.03,2.41,-2.51,2.73,-2.08,2.67,-2.48
Armenia,14.0,69.70613,96.08549000000001,74.49401,-14.15,2.2,4.7,7.2,3.3,3.6,3.2,0.2,7.5,5.2
Australia,19.0,79.00404,96.59675,81.21506,1.94,2.07,2.46,3.92,2.58,2.53,2.19,2.77,2.37,2.94
Austria,11.0,75.4859,83.24964,78.74549,-3.76,1.84,2.92,0.68,0.03,0.66,1.01,2.08,2.48,2.42
Azerbaijan,20.0,70.29273,96.15716,76.70888000000001,9.37,4.79,-1.57,2.2,5.84,2.8,1.05,-3.06,-0.28,1.41
"Bahamas, The",6.0,59.070809999999994,87.03235,59.87155,-4.18,1.54,0.61,3.09,-2.95,0.74,0.6,0.45,0.07,1.57
Bahrain,11.0,63.787980000000005,89.59156,76.02665,2.54,4.34,1.98,3.73,5.42,4.35,2.86,3.47,3.8,1.78
Bangladesh,9.0,22.21285,82.36901,45.04865,5.05,5.57,6.46,6.52,6.01,6.06,6.55,7.11,7.28,7.86
Barbados,6.0,38.94721,86.36698,57.90615,-4.86,-2.17,-0.79,-0.07,-1.37,-0.17,2.2,2.28,-0.17,-0.5
Belarus,10.0,67.58417,93.52188000000001,74.29113000000001,0.2,7.8,5.38,1.69,1.0,1.73,-3.83,-2.53,2.53,3.05
Belgium,13.0,64.25069,92.32016999999999,74.98904,-2.02,2.86,1.69,0.74,0.46,1.58,2.03,1.51,1.96,1.46
Belize,4.0,50.11487,72.01481,55.47444,0.67,3.38,2.16,2.94,0.85,3.69,3.43,-0.59,1.44,3.04
Benin,6.0,41.50359,90.62416999999999,52.40404,2.33,2.11,2.96,4.82,7.19,6.35,2.1,3.96,5.84,6.86
Bhutan,11.0,69.98871,86.35499,65.97305,6.75,11.95,7.98,5.12,2.12,5.78,6.64,8.13,4.65,3.03
Bolivia,7.0,55.572590000000005,69.36413,51.65574,3.36,4.13,5.2,5.12,6.8,5.46,4.86,4.26,4.2,4.22
Bosnia and Herzegovina,13.0,57.8203,60.034440000000004,65.44253,-3.0,0.77,0.91,-0.7,2.35,1.15,3.09,3.15,2.13,3.62
Botswana,12.0,49.98989,76.22695,66.1978,-7.65,8.56,6.05,4.46,11.34,4.15,-1.7,4.3,2.91,4.45
Brazil,10.0,64.07953,81.29475,59.08306999999999,-0.13,7.53,3.97,1.92,3.0,0.5,-3.55,-3.31,1.06,1.12
Brunei Darussalam,20.0,62.801759999999994,94.93346,70.06387,-1.76,2.6,3.75,0.91,-2.13,-2.35,-0.57,-2.47,1.33,0.05
Bulgaria,13.0,67.04333000000001,85.39816,71.97405,-3.59,1.32,1.91,0.03,0.49,1.84,3.47,3.94,3.81,3.08
Burkina Faso,6.0,41.052279999999996,88.17363,51.40019,2.96,5.37,6.63,6.45,5.79,4.33,3.89,5.91,6.35,6.83
Burundi,3.0,42.974059999999994,92.92286,46.77393,3.81,5.12,4.03,4.45,4.92,4.24,-3.9,-0.6,0.5,1.61
Cabo Verde,7.0,64.83565,84.46854,55.03925,-1.27,1.47,3.97,1.08,0.8,0.61,1.01,4.71,3.7,5.08
Cambodia,16.0,31.74863,52.42046,53.84483,0.09,5.96,7.07,7.31,7.36,7.14,7.04,7.03,7.02,7.5
Cameroon,12.0,39.91137,86.27056,46.099740000000004,2.2,3.42,4.13,4.54,5.4,5.88,5.65,4.65,3.55,4.06
Canada,17.0,57.12838000000001,98.23581,79.64043000000001,-2.93,3.09,3.15,1.76,2.33,2.87,0.69,1.11,2.98,1.9
Central African Republic,7.0,31.389090000000003,63.19125,35.56585,8.59,4.63,4.19,5.05,-36.39,0.08,4.34,4.75,4.53,3.79
Chad,6.0,45.50991,52.51976,36.93568,4.22,13.55,0.08,8.88,5.7,6.9,2.77,-6.26,-2.99,2.64
Chile,11.0,64.72224,91.42747,72.58023,-1.56,5.84,6.11,5.32,4.05,1.77,2.3,1.67,1.28,4.02
China,12.0,80.91292,94.0921,77.9313,9.4,10.64,9.55,7.86,7.77,7.3,6.91,6.74,6.76,6.57
Colombia,18.0,34.28541,87.02499,70.05964,1.21,4.35,7.36,3.9,4.57,4.73,2.96,2.09,1.35,2.57
Comoros,8.0,32.97207,76.48653,47.87291,3.2,3.8,4.1,3.2,4.5,2.1,1.12,3.32,3.82,3.43
"Congo, Dem. Rep.",6.0,33.28015,91.62606,36.20973,2.86,7.11,6.87,7.09,8.48,9.47,6.92,2.4,3.73,5.76
"Congo, Rep.",8.0,43.99406,65.79674,39.533590000000004,7.47,8.75,3.42,3.8,3.44,6.78,2.65,-2.8,-3.1,1.03
Costa Rica,17.0,55.185390000000005,79.914,69.2383,-0.97,4.95,4.31,4.8,2.27,3.52,3.63,4.25,3.4,2.63
Croatia,10.0,70.59806999999999,85.28107,73.62096,-7.36,-1.5,-0.31,-2.24,-0.55,-0.1,2.44,3.48,3.14,2.63
Cyprus,12.0,48.593790000000006,92.03844000000001,73.35105,-2.02,2.01,0.4,-3.45,-6.55,-1.86,3.37,6.75,4.36,4.06
Czech Republic,14.0,56.37744,82.06409000000001,76.34054,-4.8,2.27,1.78,-0.8,-0.48,2.72,5.31,2.45,4.35,2.96
Denmark,14.0,73.921,92.70453,85.28856,-4.91,1.87,1.34,0.23,0.93,1.62,2.34,3.25,2.04,2.39
Dominica,6.0,57.53493,89.32369,60.54796999999999,-1.17,0.67,-0.22,-1.06,-1.0,4.45,-2.69,2.56,-6.8,2.26
Dominican Republic,9.0,50.56409,85.43876999999999,59.98866999999999,0.95,8.34,3.13,2.72,4.88,7.05,6.93,6.66,4.67,6.98
Ecuador,9.0,57.53154,69.11291,57.7227,0.57,3.53,7.87,5.64,4.95,3.79,0.1,-1.23,2.37,1.38
"Egypt, Arab Rep.",13.0,39.970859999999995,87.83591,60.05364,4.67,5.15,1.76,2.23,2.19,2.92,4.37,4.35,4.18,5.31
El Salvador,16.0,51.85391,78.63584,65.25247,-2.09,2.1,3.82,2.82,2.23,1.71,2.4,2.51,2.31,2.54
Equatorial Guinea,8.0,56.1746,60.963930000000005,41.052859999999995,1.34,-8.92,6.52,8.31,-4.13,0.42,-9.11,-8.82,-4.69,-6.13
Estonia,14.0,76.06447,95.35989000000001,80.61685,-14.43,2.71,7.44,3.11,1.35,2.99,1.84,2.63,5.75,4.76
Eswatini,11.0,36.71665,77.19821999999999,59.49273,1.57,3.79,2.25,5.39,3.86,0.91,2.31,1.27,2.02,2.35
Ethiopia,3.0,62.76565,71.70191,47.97613,8.8,12.55,11.18,8.65,10.58,10.26,10.39,9.43,9.5,6.81
Fiji,5.0,57.05174,73.56195,61.478919999999995,-1.39,2.95,2.71,1.41,4.73,5.6,4.66,2.51,5.43,3.53
Finland,12.0,66.39798,93.46643,80.17834,-8.07,3.19,2.55,-1.4,-0.9,-0.36,0.56,2.63,3.05,1.67
France,10.0,73.46777,93.14713,76.80465,-2.87,1.95,2.19,0.31,0.58,0.96,1.11,1.1,2.26,1.72
Gabon,8.0,32.83538,86.97388000000001,45.0251,0.13,7.09,7.09,5.25,5.64,4.31,3.88,2.09,0.48,0.84
"Gambia, The",6.0,50.88268,84.57777,50.29381,6.67,5.91,-8.13,5.24,2.87,-1.41,4.06,1.94,4.82,6.55
Georgia,17.0,75.04436,99.61764000000001,83.73393,-3.65,6.25,7.4,6.4,3.6,4.4,3.0,2.9,4.8,4.8
Germany,14.0,74.09779,83.67435,79.71004,-5.7,4.18,3.92,0.42,0.43,2.23,1.74,2.23,2.47,1.53
Ghana,12.0,53.99706,84.96239,59.96017,4.84,7.9,14.05,9.29,7.31,2.9,2.18,3.45,8.14,6.26
Greece,9.0,48.12003,95.99593,68.42390999999999,-4.3,-5.48,-9.13,-7.3,-3.24,0.74,-0.44,-0.19,1.51,1.93
Grenada,6.0,59.33193000000001,87.96368000000001,53.444880000000005,-6.61,-0.51,0.76,-1.16,2.35,7.34,6.44,3.74,4.46,4.18
Guatemala,17.0,34.54568,86.80156,62.59562,0.53,2.87,4.16,2.97,3.7,4.17,4.14,3.09,2.76,3.15
Guinea,6.0,53.87195,84.45567,49.42922,-1.12,4.81,5.61,5.92,3.95,3.7,3.83,10.82,10.3,6.16
Guinea-Bissau,6.0,38.61288,75.49544,43.23319,3.37,4.61,8.08,-1.71,3.26,0.96,6.13,6.26,5.92,3.8
Guyana,11.0,57.87369,85.60068000000001,55.49196,3.55,4.14,5.2,5.28,5.02,3.9,3.05,3.36,2.1,4.1
Haiti,7.0,51.56601,36.431509999999996,40.72493,3.08,-3.12,5.52,2.89,4.25,2.78,1.22,1.45,1.17,1.48
Honduras,16.0,44.18695,71.36012,56.26791,-2.43,3.73,3.84,4.13,2.79,3.06,3.84,3.89,4.79,3.75
Hungary,15.0,70.97665,88.19171999999999,73.41584,-6.7,0.66,1.82,-1.47,1.96,4.2,3.85,2.2,4.32,5.09
Iceland,11.0,69.10372,90.64966,78.96154,-6.78,-3.44,1.88,1.3,4.13,2.08,4.47,7.35,4.6,4.61
India,16.0,41.19173,81.60138,71.04511,7.86,8.5,5.24,5.46,6.39,7.41,8.0,8.17,7.17,6.81
Indonesia,14.0,49.08521,81.20898000000001,69.57879,4.63,6.22,6.17,6.03,5.56,5.01,4.88,5.03,5.07,5.17
Iraq,0.0,48.0168,77.25113,44.70443,3.38,6.4,7.55,13.94,7.6,0.7,2.48,15.21,-2.49,-0.56
Ireland,14.0,57.877790000000005,94.40378,79.57614000000001,-5.08,1.81,0.34,0.23,1.35,8.56,25.16,3.68,8.15,8.17
Israel,14.0,58.85719,94.08292,76.67572,0.92,5.6,4.78,2.26,4.15,3.76,2.29,3.98,3.54,3.45
Italy,9.0,53.107130000000005,86.80897,72.85055,-5.28,1.71,0.71,-2.98,-1.84,-0.0,0.78,1.28,1.72,0.77
Jamaica,17.0,53.725469999999994,97.37286,69.67997,-4.34,-1.47,1.73,-0.61,0.5,0.69,0.92,1.38,1.0,1.94
Japan,11.0,65.26177,86.09823,77.99983,-5.42,4.19,-0.12,1.5,2.0,0.37,1.22,0.61,1.93,0.79
Jordan,19.0,55.55814,84.5032,68.97453,5.48,2.31,2.59,2.65,2.83,3.1,2.39,2.0,2.12,1.94
Kazakhstan,16.0,81.25421999999999,94.42857,79.55915,1.2,7.3,7.4,4.8,6.0,4.2,1.2,1.1,4.1,4.1
Kenya,19.0,58.27156,82.72910999999999,73.21648,3.31,8.41,6.11,4.56,5.88,5.36,5.72,5.88,4.86,6.32
Kiribati,4.0,53.38738000000001,78.40047,46.93884,0.8,-0.92,1.59,4.71,4.21,-0.7,10.41,5.13,0.33,2.0
"Korea, Rep.",13.0,84.1493,93.35556,84.00083000000001,0.71,6.5,3.68,2.29,2.9,3.34,2.79,2.93,3.06,2.67
Kosovo,17.0,64.73474,95.88466,73.18473,3.6,3.31,4.38,2.81,3.44,1.22,4.1,4.07,4.23,3.81
Kuwait,9.0,61.433130000000006,88.39693,67.40473,-7.08,-2.37,9.63,6.63,1.15,0.5,0.59,2.93,-4.71,1.25
Kyrgyz Republic,17.0,50.41713,93.02396999999999,67.82089,2.89,-0.47,5.96,-0.2,10.9,4.0,3.9,4.3,4.7,3.5
Lao PDR,12.0,41.99286,62.66424,50.82456,7.5,8.53,8.04,8.03,8.03,7.61,7.27,7.02,6.89,6.25
Latvia,17.0,73.50723,94.13799,80.28054,-14.24,-4.47,6.29,4.13,2.33,1.92,3.26,1.77,3.79,4.62
Lebanon,8.0,50.771879999999996,78.17714000000001,54.3316,10.05,8.04,0.92,2.72,2.62,1.88,0.42,1.61,0.55,0.2
Lesotho,11.0,57.18428,88.24301,59.4294,2.15,6.43,6.63,5.9,2.16,2.82,2.72,3.22,-2.28,1.13
Liberia,10.0,35.22925,88.93865,43.227470000000004,5.3,6.1,8.2,7.99,8.7,0.7,0.0,-1.6,2.47,1.22
Libya,0.0,48.41406,73.14735,32.685520000000004,-0.79,5.02,-62.08,123.14,-13.6,-24.0,-8.86,-2.8,26.68,7.95
Lithuania,14.0,78.80244,93.27371,81.61948000000001,-14.81,1.48,6.03,3.83,3.56,3.51,2.03,2.56,4.25,3.64
Luxembourg,3.0,73.31605,88.825,69.6031,-4.36,4.86,2.54,-0.35,3.65,4.3,4.31,4.57,1.8,3.11
Madagascar,8.0,50.04077,88.46242,47.72865,-3.98,0.62,1.58,3.01,2.3,3.34,3.13,3.99,3.93,4.56
Malawi,18.0,47.403890000000004,77.9336,60.9371,8.33,6.87,4.85,1.89,5.2,5.7,2.8,2.48,4.0,3.5
Malaysia,15.0,68.23418000000001,83.31508000000001,81.47336999999999,-1.51,7.42,5.29,5.47,4.69,6.01,5.09,4.45,5.74,4.74
Maldives,7.0,52.46638000000001,89.16009,53.274530000000006,-7.23,7.27,8.57,2.52,7.28,7.33,2.88,6.34,6.8,6.89
Mali,6.0,42.80466,84.27014,52.94472,4.68,5.41,3.24,-0.84,2.3,7.04,5.96,5.8,5.4,4.9
Malta,7.0,67.56799000000001,88.19324,66.13941,-2.46,3.54,1.31,2.79,4.61,8.71,10.82,5.68,6.72,6.77
Marshall Islands,10.0,55.93107,88.36139,50.8911,1.44,7.56,-0.76,-2.37,3.72,-0.94,1.59,1.31,4.06,3.62
Mauritania,8.0,65.98946,92.23607,51.06288,-1.04,4.77,4.7,5.8,6.09,5.58,0.43,1.84,3.07,3.55
Mauritius,13.0,72.22104,94.48123000000001,81.46811,3.32,4.38,4.08,3.5,3.36,3.74,3.55,3.84,3.81,3.77
Mexico,18.0,67.00659,86.06705,72.35556,-5.29,5.12,3.66,3.64,1.35,2.8,3.29,2.91,2.12,2.14
"Micronesia, Fed. Sts.",10.0,29.38895,69.61062,48.10341,1.09,2.26,3.19,-1.87,-3.68,-2.31,4.62,0.9,2.68,0.21
Moldova,14.0,63.64595,95.68106,74.39090999999999,-6.0,7.1,5.82,-0.59,9.04,5.0,-0.34,4.41,4.69,3.4
Mongolia,16.0,61.36303,86.67187,67.77261999999999,-1.27,6.37,17.29,12.32,11.65,7.89,2.38,1.17,5.34,7.23
Montenegro,17.0,66.75214,86.6642,73.81891,-5.8,2.73,3.23,-2.72,3.55,1.78,3.39,2.95,4.72,5.08
Morocco,9.0,63.70476,93.00662,73.38133,4.24,3.82,5.25,3.01,4.54,2.67,4.54,1.06,4.23,2.99
Mozambique,5.0,39.782309999999995,69.26071,54.9955,6.31,6.49,7.4,7.26,6.96,7.4,6.72,3.82,3.74,3.43
Myanmar,2.0,26.38618,89.34536999999999,46.82775,10.55,9.63,5.59,7.33,8.43,7.99,6.99,5.86,6.76,6.2
Namibia,12.0,63.435669999999995,72.20375,61.35078000000001,0.3,6.04,5.09,5.06,5.61,6.35,6.09,1.12,-0.87,-0.55
Nepal,15.0,45.99435,81.6569,63.1866,4.53,4.82,3.42,4.78,4.13,5.99,3.32,0.59,8.22,6.66
Netherlands,9.0,59.94072,94.33849000000001,76.10376,-3.67,1.34,1.55,-1.03,-0.13,1.42,1.96,2.19,2.91,2.6
New Zealand,20.0,71.47508,99.97544,86.76465,-0.21,1.54,2.33,2.23,2.58,3.72,3.58,3.65,3.13,2.77
Nicaragua,10.0,58.583169999999996,79.57321999999999,54.38673000000001,-3.29,4.41,6.32,6.5,4.93,4.78,4.79,4.56,4.68,-3.82
Niger,14.0,54.69262,91.51177,56.759319999999995,-0.71,8.36,2.28,11.85,5.27,7.53,4.34,4.93,4.89,6.48
Nigeria,17.0,61.459740000000004,86.21866999999999,56.875890000000005,8.04,8.01,5.31,4.23,6.67,6.31,2.65,-1.62,0.81,1.94
North Macedonia,16.0,66.01086,88.6177,80.74807,-0.36,3.36,2.34,-0.46,2.92,3.63,3.86,2.85,0.24,2.66
Norway,11.0,81.26778,94.33768,82.62729,-1.73,0.7,0.98,2.7,1.03,1.97,1.97,1.07,2.32,1.29
Oman,7.0,61.87115,93.46377,69.98474,6.11,4.8,-1.11,9.33,4.37,2.75,4.74,4.98,0.27,1.76
Pakistan,9.0,43.48726,89.26536,60.95491,2.83,1.61,2.75,3.51,4.4,4.67,4.73,5.53,5.55,5.83
Palau,10.0,52.20845,82.14697,53.699819999999995,-6.26,0.29,4.87,1.84,-1.41,4.37,10.08,0.8,-3.52,1.71
Panama,16.0,48.96475,92.01289,66.56045,1.24,5.83,11.31,9.78,6.9,5.07,5.73,4.97,5.32,3.68
Papua New Guinea,14.0,36.205220000000004,80.14744,59.77356999999999,6.8,10.13,1.11,4.66,3.82,13.54,9.48,4.08,3.54,-0.82
Paraguay,8.0,61.62132,75.98235,59.05401,-0.26,11.14,4.25,-0.54,8.42,4.86,3.08,4.31,4.96,3.68
Peru,15.0,59.06726,82.12816,68.69658000000001,1.1,8.33,6.33,6.14,5.85,2.38,3.25,3.95,2.52,3.98
Philippines,8.0,45.964040000000004,71.2777,62.82943,1.15,7.63,3.66,6.68,7.06,6.15,6.07,6.88,6.68,6.24
Poland,15.0,64.36328,82.90859,76.38122,2.82,3.61,5.02,1.61,1.39,3.32,3.84,3.06,4.94,5.15
Portugal,9.0,67.90524,90.90398,76.46616,-3.12,1.74,-1.7,-4.06,-0.92,0.79,1.79,2.02,3.51,2.44
Puerto Rico,19.0,61.81652,91.24406,70.06962,-1.95,-0.41,-0.36,0.03,-0.31,-1.19,-1.05,-1.26,-2.66,-4.91
Qatar,9.0,54.64343,86.05271,68.66573000000001,11.96,19.59,13.38,4.69,4.41,3.98,3.66,2.13,1.58,1.49
Romania,16.0,72.24591,87.68068000000001,73.3332,-5.52,-3.9,2.01,2.08,3.51,3.41,3.87,4.8,7.11,3.95
Russian Federation,16.0,72.18106999999999,93.05734,78.16284,-7.8,4.5,4.3,3.7,1.8,0.7,-2.31,0.33,1.63,2.25
Rwanda,19.0,69.10635,93.23825,76.48281999999999,6.25,7.33,7.96,8.64,4.72,6.16,8.87,5.98,6.12,8.61
Samoa,9.0,58.58749,92.59108,62.074040000000004,-4.81,0.48,4.17,-4.09,-0.42,0.08,4.27,8.05,1.02,-2.17
Saudi Arabia,12.0,65.25755,93.13547,71.55722,-2.06,5.04,10.0,5.41,2.7,3.65,4.11,1.67,-0.74,2.43
Senegal,13.0,50.61203,91.18542,59.275,2.09,3.56,1.46,5.12,2.82,6.61,6.37,6.36,7.08,6.77
Serbia,13.0,63.14017,89.25431,75.65345,-2.73,0.73,2.04,-0.68,2.89,-1.59,1.78,3.34,2.05,4.39
Seychelles,7.0,51.24561,78.75501,61.704969999999996,-1.11,5.95,7.89,1.26,6.02,4.5,4.94,4.5,4.33,3.63
Sierra Leone,5.0,55.915980000000005,91.28746,47.45831,3.19,5.35,6.32,15.18,20.72,4.56,-20.6,6.06,4.21,3.45
Singapore,15.0,84.53189,98.22968,86.1981,0.12,14.53,6.26,4.45,4.82,3.9,2.89,2.96,3.7,3.14
Slovak Republic,14.0,66.12145,84.81288,75.58542,-5.46,5.72,2.86,1.9,0.67,2.75,4.82,2.12,3.04,4.03
Slovenia,9.0,54.82325,93.03083000000001,76.51751,-7.55,1.34,0.86,-2.64,-1.03,2.77,2.21,3.12,4.83,4.12
Solomon Islands,10.0,43.48648,85.61679000000001,55.26279,-4.74,6.81,13.2,4.56,3.02,2.25,2.54,3.22,3.69,3.85
South Africa,12.0,56.8817,81.22483000000001,67.01897,-1.54,3.04,3.28,2.21,2.49,1.85,1.19,0.4,1.41,0.79
Spain,12.0,70.89553000000001,86.94991,77.93588000000001,-3.76,0.16,-0.81,-2.96,-1.44,1.38,3.84,3.03,2.89,2.35
Sri Lanka,8.0,41.16373,88.20442,61.80614,3.54,8.02,8.4,9.14,3.4,4.96,5.01,4.49,3.42,3.21
St. Kitts and Nevis,5.0,65.51304,85.8768,54.63689,-3.37,-2.94,1.83,-2.23,5.38,6.28,1.03,2.83,-1.98,2.92
St. Lucia,5.0,59.67044,89.35396999999999,63.6504,-1.45,0.3,4.14,-0.29,-1.97,1.34,0.23,3.15,2.55,0.86
St. Vincent and the Grenadines,5.0,63.66124,87.0498,57.0869,-2.1,-3.35,-0.42,1.38,1.83,1.21,1.33,1.9,1.0,2.16
Sudan,3.0,47.83504,76.72868000000001,44.82932,3.24,3.47,-1.97,0.52,4.39,2.68,4.91,4.7,4.28,-2.32
Suriname,2.0,25.94155,61.564859999999996,47.46427,3.01,5.17,5.85,2.69,2.93,0.26,-3.41,-5.56,1.69,1.9
Sweden,12.0,67.60978,93.11173000000001,81.99155,-4.24,6.19,3.05,-0.63,1.09,2.75,4.42,2.41,2.41,2.23
Switzerland,13.0,64.08962,88.44104,76.61864,-2.22,3.0,1.69,1.01,1.85,2.45,1.33,1.72,1.8,2.75
Tajikistan,18.0,60.70995,93.23501999999999,61.26761,3.89,6.52,7.4,7.49,7.4,6.71,6.01,6.87,7.62,7.3
Tanzania,13.0,61.66109,74.39872,54.46329,5.27,6.34,7.67,4.5,6.78,6.73,6.16,6.87,6.79,5.44
Thailand,14.0,67.91147,92.36265999999999,80.09233,-0.69,7.51,0.84,7.24,2.69,0.98,3.13,3.36,4.02,4.13
Timor-Leste,4.0,6.13236,89.40581,39.36487,-6.04,-1.17,11.46,5.02,-11.09,-25.91,20.63,0.71,-9.15,2.81
Togo,14.0,49.024429999999995,95.13053000000001,62.28934,5.54,6.1,6.4,6.54,6.11,5.92,5.74,5.56,4.36,4.91
Tonga,14.0,57.31726999999999,90.9485,61.38921,2.29,3.59,2.79,0.89,-3.12,2.07,3.71,3.38,2.7,0.3
Trinidad and Tobago,13.0,35.62471,88.57794,61.29128000000001,-4.39,3.32,-0.29,1.27,2.23,-0.91,1.82,-6.3,-2.31,-0.25
Tunisia,10.0,58.40875,94.56389,68.65706,3.04,3.51,-1.92,4.0,2.88,2.97,1.19,1.26,1.82,2.48
Turkey,15.0,71.40244,88.78889000000001,76.79104,-4.7,8.49,11.11,4.79,8.49,5.17,6.09,3.18,7.47,2.83
Uganda,12.0,60.59958,71.38371,59.9818,6.8,5.64,9.39,3.84,3.59,5.11,5.19,4.78,3.86,6.15
Ukraine,15.0,63.59095,91.07639,70.2106,-14.76,3.83,5.47,0.24,-0.03,-6.55,-9.77,2.44,2.47,3.34
United Arab Emirates,14.0,75.87629,94.76119,80.91489,-5.24,1.6,6.93,4.48,5.05,4.28,5.11,3.06,0.49,1.73
United Kingdom,15.0,68.68538000000001,94.57844,83.54968000000001,-4.25,1.95,1.54,1.48,2.14,2.61,2.36,1.92,1.89,1.39
United States,19.0,73.43767,91.59317,83.99668,-2.54,2.56,1.55,2.25,1.84,2.45,2.88,1.57,2.22,2.93
Uruguay,12.0,56.290009999999995,89.59999,61.53994,4.24,7.8,5.16,3.54,4.64,3.24,0.37,1.69,2.59,1.62
Uzbekistan,13.0,71.88951,96.15839,69.87898,8.05,7.6,7.78,7.38,7.58,7.18,7.45,6.09,4.46,5.12
Vanuatu,15.0,49.27388,81.47285,61.05191,3.31,1.63,1.22,1.75,1.97,2.33,0.2,3.5,4.4,3.2
"Venezuela, RB",8.0,46.88823,25.0,30.236340000000002,-3.2,-1.49,4.18,5.63,1.34,-3.89,-6.22,-17.04,-15.67,-19.62
Vietnam,16.0,62.069140000000004,85.11464000000001,69.76594,5.4,6.42,6.24,5.25,5.42,5.98,6.68,6.21,6.81,7.08
West Bank and Gaza,16.0,52.51243,70.19032,59.978730000000006,8.66,8.1,12.41,6.28,2.22,-0.18,3.43,4.71,3.14,0.91
"Yemen, Rep.",0.0,48.51871,76.84221,31.762990000000002,3.87,7.7,-12.71,2.39,4.82,-0.19,-16.68,-13.62,-5.94,-2.7
Zambia,19.0,50.81521,84.91265,66.93648,9.22,10.3,5.56,7.6,5.06,4.7,2.92,3.76,3.4,3.79
Zimbabwe,13.0,39.6591,72.00298000000001,54.46935,12.02,19.68,14.19,16.67,1.99,2.38,1.78,0.76,4.7,6.16
