Country Name,Country Code,Series Name,Series Code,2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,21.39052841,14.36244146,0.426354793,12.75228708,5.600744661,2.724543365,1.451314655,2.260314205,2.665292046,1.030660058,..
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,438.0760344,543.3030419,591.1623465,641.8720338,637.1650439,613.8563329,578.4663529,547.2281102,556.3021385,520.8966027,..
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.350067393,3.706891433,2.545322651,1.417524408,1.001988709,1.774486771,2.21875146,3.314804753,3.821081417,4.145237936,..
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,4114.14015,4094.362119,4437.178067,4247.614279,4413.081743,4578.66672,3952.829458,4124.108907,4532.890162,5268.848504,..
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.6,3.6,2.9,3.4,2.8,3.8,3.7,3.2,1.3,1.4,..
Algeria,DZA,GDP per capita (current US$),NY.GDP.PCAP.CD,3883.378143,4480.724539,5455.741338,5592.326098,5499.581487,5493.02559,4177.867517,3946.421445,4044.298372,4114.715061,..
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-4.237288136,0.442477876,0.293685756,-4.39238653,-2.756508423,0.94488189,1.404056162,-2.769230769,-5.85443038,2.18487395,..
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,11961.25823,10271.22452,10294.30227,11568.793,11505.39371,11507.23235,11843.33118,11696.95556,10823.4448,11466.69071,..
Andorra,AND,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.69065351,-5.358825775,-4.646543052,-1.615218183,0.351645002,2.277683153,0.842203518,1.889124387,1.724022237,1.629345471,..
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,43338.86676,39736.35406,41100.72994,38392.9439,40626.75163,42300.33413,36039.6535,37224.10892,39134.39337,42029.76274,..
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.858712615,4.859219584,3.471981372,8.542147337,4.954590478,4.822625549,0.943575613,-2.58009724,-0.147207426,-2.133493257,..
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,3122.780766,3587.883798,4615.468028,5100.095808,5254.882338,5408.410496,4166.979684,3506.072885,4095.812942,3432.385736,..
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-12.10753619,-7.574357218,-1.958612628,3.3728662,-0.600876397,3.795727613,3.825293099,5.497788456,3.145543603,7.389197162,..
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,14113.07726,13049.25705,12746.20502,13272.44133,12909.74418,13501.58092,14286.09316,15197.61746,15383.41519,16726.98081,..
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.668590379,-2.481792445,..
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,8225.137176,10385.96443,12848.8642,13082.66433,13080.25473,12334.79825,13789.06042,12790.24247,14591.86338,11683.94962,..
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-14.14998864,2.199999998,4.699999999,7.200000004,3.3,3.600000001,3.199999999,0.2,7.500000002,5.2,..
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,2994.342544,3218.372707,3525.804747,3681.857456,3838.185801,3986.231624,3607.296697,3591.829276,3914.501268,4212.070943,..
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-10.51974761,-3.685029581,3.44605475,-1.369863014,4.198232323,0.84822781,-0.450585761,-0.211225106,1.330511037,..,..
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,24630.45371,23512.6026,24985.99328,24713.69805,25025.09956,25533.56978,25796.38025,25239.60041,25630.26649,..,..
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.93692177,2.067465677,2.462786173,3.918161772,2.584875111,2.533115447,2.192640028,2.770656693,2.367617253,2.940333582,..
