Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,438,543,591,642,637,614,578,547,556,521
Albania,4114,4094,4437,4248,4413,4579,3953,4124,4533,5269
Algeria,3883,4481,5456,5592,5500,5493,4178,3946,4044,4115
American Samoa,11961,10271,10294,11569,11505,11507,11843,11697,10823,11467
Andorra,43339,39736,41101,38393,40627,42300,36040,37224,39134,42030
Angola,3123,3588,4615,5100,5255,5408,4167,3506,4096,3432
Antigua and Barbuda,14113,13049,12746,13272,12910,13502,14286,15198,15383,16727
Argentina,8225,10386,12849,13083,13080,12335,13789,12790,14592,11684
Armenia,2994,3218,3526,3682,3838,3986,3607,3592,3915,4212
Australia,42772,52022,62518,68012,68150,62511,56756,49971,54066,57374
Austria,47963,46858,51375,48568,50717,51717,44178,45238,47432,51462
Azerbaijan,4950,5843,7190,7496,7876,7891,5500,3881,4147,4721
"Bahamas, The",28552,28443,28006,29486,28768,29445,31406,31589,31827,32218
Bahrain,19356,20722,22514,23654,24744,24989,22689,22619,23715,24051
Bangladesh,702,781,862,883,982,1119,1248,1402,1564,1698
Barbados,15886,16056,16459,16250,16452,16489,16562,16937,17432,17949
Belarus,5351,6181,6519,6940,7979,8319,5949,5023,5762,6290
Belgium,44584,44142,47349,44673,46745,47701,40992,42012,44220,47519
Belize,4243,4271,4423,4506,4569,4706,4776,4818,4888,4885
Benin,793,758,827,838,916,945,784,789,829,902
Bhutan,1819,2258,2563,2539,2473,2652,2753,2931,3287,3243
Bolivia,1754,1955,2346,2610,2908,3082,3036,3077,3351,3549
Bosnia and Herzegovina,4715,4636,5093,4779,5131,5330,4727,4995,5395,6066
Botswana,5256,6435,7617,7878,7225,7781,6800,7244,7893,8259
Brazil,8598,11286,13246,12370,12300,12113,8814,8713,9881,8921
Brunei Darussalam,27956,35270,47056,47742,44740,41727,31165,27158,28572,31628
Bulgaria,6970,6843,7814,7378,7647,7865,6994,7469,8228,9273
Burkina Faso,553,575,667,674,700,704,575,583,642,715
Burundi,212,234,250,252,257,275,306,282,293,272
Cabo Verde,3517,3378,3740,3448,3616,3589,3043,3131,3293,3635
Cambodia,738,786,882,951,1013,1093,1163,1279,1385,1510
Cameroon,1315,1285,1403,1355,1465,1541,1327,1363,1422,1534
Canada,40773,47450,52102,52542,52505,50836,43495,42280,45070,46233
Central African Republic,475,488,551,566,380,424,377,402,450,476
Chad,800,892,983,967,980,1019,776,693,664,728
Chile,10209,12808,14637,15352,15843,14671,13574,13748,15037,15923
China,3832,4550,5618,6317,7051,7651,8033,8079,8759,9771
Colombia,5195,6327,7324,8043,8213,8114,6176,5871,6376,6668
Comoros,1339,1315,1446,1403,1505,1512,1242,1272,1321,1415
"Congo, Dem. Rep.",299,334,387,425,458,487,497,471,467,562
"Congo, Rep.",2314,2810,3282,3033,3047,2993,1761,1814,1703,2148
Costa Rica,6760,8142,9122,9913,10490,10547,11299,11666,11753,12027
Cote d'Ivoire,1210,1212,1207,1243,1415,1559,1426,1482,1557,1716
Croatia,14556,13924,14567,13238,13642,13600,11783,12360,13412,14910
Cuba,5530,5730,6140,6497,6838,7133,7694,8061,8541,8822
Cyprus,32106,30818,32234,28985,27942,27407,23217,24019,25761,28159
Czech Republic,19742,19808,21717,19730,19916,19745,17716,18463,20380,23079
Denmark,58163,58041,61754,58508,61191,62549,53255,54664,57141,61350
Djibouti,1267,1343,1452,1559,2313,2466,2676,2818,2931,3083
Dominica,6903,6967,7065,6848,7017,7318,7596,8081,7275,7691
Dominican Republic,5039,5555,5913,6110,6238,6609,6922,7281,7609,8051
Ecuador,4232,4634,5201,5682,6056,6377,6124,6060,6214,6345
"Egypt, Arab Rep.",2329,2645,2792,3233,3264,3379,3599,3525,2441,2549
El Salvador,2858,2983,3266,3428,3510,3589,3706,3800,3902,4058
Equatorial Guinea,16668,17272,21614,21712,20385,19368,11279,9244,9738,10262
Estonia,14795,14784,17624,17534,19174,20367,17522,18237,20338,23266
Eswatini,3386,4169,4497,4528,4230,4039,3690,3448,3953,4146
Ethiopia,381,342,354,467,500,567,641,717,768,772
Fiji,3363,3653,4371,4592,4841,5606,5391,5651,6101,6267
Finland,47294,46460,51082,47711,49878,50260,42811,43777,46192,50152
France,41575,40638,43791,40875,42593,43009,36613,36962,38679,41464
Gabon,7690,8841,10796,9814,9681,9651,7382,6980,7213,7953
"Gambia, The",833,861,763,743,701,607,661,683,680,716
Georgia,2823,3233,4022,4422,4624,4739,4014,4062,4357,4717
Germany,41486,41532,46645,43858,46286,47960,41140,42099,44240,47603
Ghana,1075,1298,1558,1613,2378,1969,1766,1931,2026,2202
Greece,29711,26918,25916,22243,21875,21761,18168,18116,18883,20324
Grenada,7291,7258,7291,7445,7790,8370,9097,9628,10164,10640
Guam,30027,30700,30859,32495,33265,34394,35279,35563,35616,35713
Guatemala,2636,2825,3188,3300,3453,3688,3924,4141,4471,4549
Guinea,674,672,651,717,769,787,769,733,856,879
Guinea-Bissau,557,558,703,616,634,622,603,661,737,778
Guyana,2757,3033,3425,3788,3935,4032,4166,4543,4586,4979
Haiti,672,666,744,770,816,832,816,735,766,868
Honduras,1790,1904,2088,2144,2103,2206,2302,2343,2450,2500
"Hong Kong SAR, China",30697,32550,35142,36731,38404,40315,42432,43734,46226,48676
Hungary,13046,13114,14151,12918,13687,14246,12652,12992,14458,16162
Iceland,41333,43025,47517,45910,49522,54242,52429,61758,71315,73191
India,1102,1358,1458,1444,1450,1574,1606,1729,1981,2010
Indonesia,2261,3122,3643,3694,3624,3492,3332,3563,3837,3894
Iraq,3854,4657,6045,6836,7077,6819,4990,4777,5205,5834
Ireland,52105,48715,51849,48918,51590,55493,61995,63197,69650,78806
Israel,27716,30694,33669,32511,36309,37679,35777,37322,40542,41715
Italy,37080,36001,38599,35054,35550,35518,30230,30936,32327,34483
Jamaica,4316,4704,5111,5210,4989,4834,4908,4843,5069,5354
Japan,40855,44508,48168,48603,40454,38109,34524,38794,38332,39290
Jordan,3504,3690,3816,3877,3998,4073,4105,4104,4163,4242
Kazakhstan,7165,9070,11634,12387,13891,12807,10511,7715,9248,9813
