Country,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Afghanistan,21.39,14.36,0.43,12.75,5.6,2.72,1.45,2.26,2.67,1.03
Albania,3.35,3.71,2.55,1.42,1.0,1.77,2.22,3.31,3.82,4.15
Algeria,1.6,3.6,2.9,3.4,2.8,3.8,3.7,3.2,1.3,1.4
American Samoa,-4.24,0.44,0.29,-4.39,-2.76,0.94,1.4,-2.77,-5.85,2.18
Andorra,-3.69,-5.36,-4.65,-1.62,0.35,2.28,0.84,1.89,1.72,1.63
Angola,0.86,4.86,3.47,8.54,4.95,4.82,0.94,-2.58,-0.15,-2.13
Antigua and Barbuda,-12.11,-7.57,-1.96,3.37,-0.6,3.8,3.83,5.5,3.15,7.39
Argentina,-5.92,10.13,6.0,-1.03,2.41,-2.51,2.73,-2.08,2.67,-2.48
Armenia,-14.15,2.2,4.7,7.2,3.3,3.6,3.2,0.2,7.5,5.2
Australia,1.94,2.07,2.46,3.92,2.58,2.53,2.19,2.77,2.37,2.94
Austria,-3.76,1.84,2.92,0.68,0.03,0.66,1.01,2.08,2.48,2.42
Azerbaijan,9.37,4.79,-1.57,2.2,5.84,2.8,1.05,-3.06,-0.28,1.41
"Bahamas, The",-4.18,1.54,0.61,3.09,-2.95,0.74,0.6,0.45,0.07,1.57
Bahrain,2.54,4.34,1.98,3.73,5.42,4.35,2.86,3.47,3.8,1.78
Bangladesh,5.05,5.57,6.46,6.52,6.01,6.06,6.55,7.11,7.28,7.86
Barbados,-4.86,-2.17,-0.79,-0.07,-1.37,-0.17,2.2,2.28,-0.17,-0.5
Belarus,0.2,7.8,5.38,1.69,1.0,1.73,-3.83,-2.53,2.53,3.05
Belgium,-2.02,2.86,1.69,0.74,0.46,1.58,2.03,1.51,1.96,1.46
Belize,0.67,3.38,2.16,2.94,0.85,3.69,3.43,-0.59,1.44,3.04
Benin,2.33,2.11,2.96,4.82,7.19,6.35,2.1,3.96,5.84,6.86
Bhutan,6.75,11.95,7.98,5.12,2.12,5.78,6.64,8.13,4.65,3.03
Bolivia,3.36,4.13,5.2,5.12,6.8,5.46,4.86,4.26,4.2,4.22
Bosnia and Herzegovina,-3.0,0.77,0.91,-0.7,2.35,1.15,3.09,3.15,2.13,3.62
Botswana,-7.65,8.56,6.05,4.46,11.34,4.15,-1.7,4.3,2.91,4.45
Brazil,-0.13,7.53,3.97,1.92,3.0,0.5,-3.55,-3.31,1.06,1.12
Brunei Darussalam,-1.76,2.6,3.75,0.91,-2.13,-2.35,-0.57,-2.47,1.33,0.05
Bulgaria,-3.59,1.32,1.91,0.03,0.49,1.84,3.47,3.94,3.81,3.08
Burkina Faso,2.96,5.37,6.63,6.45,5.79,4.33,3.89,5.91,6.35,6.83
Burundi,3.81,5.12,4.03,4.45,4.92,4.24,-3.9,-0.6,0.5,1.61
Cabo Verde,-1.27,1.47,3.97,1.08,0.8,0.61,1.01,4.71,3.7,5.08
Cambodia,0.09,5.96,7.07,7.31,7.36,7.14,7.04,7.03,7.02,7.5
Cameroon,2.2,3.42,4.13,4.54,5.4,5.88,5.65,4.65,3.55,4.06
Canada,-2.93,3.09,3.15,1.76,2.33,2.87,0.69,1.11,2.98,1.9
Central African Republic,8.59,4.63,4.19,5.05,-36.39,0.08,4.34,4.75,4.53,3.79
Chad,4.22,13.55,0.08,8.88,5.7,6.9,2.77,-6.26,-2.99,2.64
Chile,-1.56,5.84,6.11,5.32,4.05,1.77,2.3,1.67,1.28,4.02
China,9.4,10.64,9.55,7.86,7.77,7.3,6.91,6.74,6.76,6.57
Colombia,1.21,4.35,7.36,3.9,4.57,4.73,2.96,2.09,1.35,2.57
Comoros,3.2,3.8,4.1,3.2,4.5,2.1,1.12,3.32,3.82,3.43
"Congo, Dem. Rep.",2.86,7.11,6.87,7.09,8.48,9.47,6.92,2.4,3.73,5.76
"Congo, Rep.",7.47,8.75,3.42,3.8,3.44,6.78,2.65,-2.8,-3.1,1.03
Costa Rica,-0.97,4.95,4.31,4.8,2.27,3.52,3.63,4.25,3.4,2.63
Cote d'Ivoire,3.25,2.02,-4.39,10.71,8.89,8.79,8.84,7.97,7.7,7.43
Croatia,-7.36,-1.5,-0.31,-2.24,-0.55,-0.1,2.44,3.48,3.14,2.63
Cuba,1.45,2.39,2.8,3.01,2.75,1.05,4.44,0.51,1.81,2.25
Curacao,-0.53,0.08,0.61,-0.14,-0.79,-1.14,0.28,-0.99,-1.74,-2.17
Cyprus,-2.02,2.01,0.4,-3.45,-6.55,-1.86,3.37,6.75,4.36,4.06
Czech Republic,-4.8,2.27,1.78,-0.8,-0.48,2.72,5.31,2.45,4.35,2.96
Denmark,-4.91,1.87,1.34,0.23,0.93,1.62,2.34,3.25,2.04,2.39
Dominica,-1.17,0.67,-0.22,-1.06,-1.0,4.45,-2.69,2.56,-6.8,2.26
Dominican Republic,0.95,8.34,3.13,2.72,4.88,7.05,6.93,6.66,4.67,6.98
Ecuador,0.57,3.53,7.87,5.64,4.95,3.79,0.1,-1.23,2.37,1.38
"Egypt, Arab Rep.",4.67,5.15,1.76,2.23,2.19,2.92,4.37,4.35,4.18,5.31
El Salvador,-2.09,2.1,3.82,2.82,2.23,1.71,2.4,2.51,2.31,2.54
Equatorial Guinea,1.34,-8.92,6.52,8.31,-4.13,0.42,-9.11,-8.82,-4.69,-6.13
Estonia,-14.43,2.71,7.44,3.11,1.35,2.99,1.84,2.63,5.75,4.76
Eswatini,1.57,3.79,2.25,5.39,3.86,0.91,2.31,1.27,2.02,2.35
Ethiopia,8.8,12.55,11.18,8.65,10.58,10.26,10.39,9.43,9.5,6.81
Fiji,-1.39,2.95,2.71,1.41,4.73,5.6,4.66,2.51,5.43,3.53
Finland,-8.07,3.19,2.55,-1.4,-0.9,-0.36,0.56,2.63,3.05,1.67
France,-2.87,1.95,2.19,0.31,0.58,0.96,1.11,1.1,2.26,1.72
Gabon,0.13,7.09,7.09,5.25,5.64,4.31,3.88,2.09,0.48,0.84
"Gambia, The",6.67,5.91,-8.13,5.24,2.87,-1.41,4.06,1.94,4.82,6.55
Georgia,-3.65,6.25,7.4,6.4,3.6,4.4,3.0,2.9,4.8,4.8
Germany,-5.7,4.18,3.92,0.42,0.43,2.23,1.74,2.23,2.47,1.53
Ghana,4.84,7.9,14.05,9.29,7.31,2.9,2.18,3.45,8.14,6.26
Greece,-4.3,-5.48,-9.13,-7.3,-3.24,0.74,-0.44,-0.19,1.51,1.93
Greenland,0.87,1.74,-0.5,1.39,-1.3,4.74,-2.53,4.68,0.47,3.22
Grenada,-6.61,-0.51,0.76,-1.16,2.35,7.34,6.44,3.74,4.46,4.18
Guam,0.31,2.09,0.12,2.03,1.83,1.73,0.46,0.29,0.25,-0.27
Guatemala,0.53,2.87,4.16,2.97,3.7,4.17,4.14,3.09,2.76,3.15
Guinea,-1.12,4.81,5.61,5.92,3.95,3.7,3.83,10.82,10.3,6.16
Guinea-Bissau,3.37,4.61,8.08,-1.71,3.26,0.96,6.13,6.26,5.92,3.8
Guyana,3.55,4.14,5.2,5.28,5.02,3.9,3.05,3.36,2.1,4.1
Haiti,3.08,-3.12,5.52,2.89,4.25,2.78,1.22,1.45,1.17,1.48
Honduras,-2.43,3.73,3.84,4.13,2.79,3.06,3.84,3.89,4.79,3.75
"Hong Kong SAR, China",-2.46,6.77,4.81,1.7,3.1,2.76,2.39,2.18,3.85,3.0
Hungary,-6.7,0.66,1.82,-1.47,1.96,4.2,3.85,2.2,4.32,5.09
Iceland,-6.78,-3.44,1.88,1.3,4.13,2.08,4.47,7.35,4.6,4.61
India,7.86,8.5,5.24,5.46,6.39,7.41,8.0,8.17,7.17,6.81
Indonesia,4.63,6.22,6.17,6.03,5.56,5.01,4.88,5.03,5.07,5.17
Iraq,3.38,6.4,7.55,13.94,7.6,0.7,2.48,15.21,-2.49,-0.56
Ireland,-5.08,1.81,0.34,0.23,1.35,8.56,25.16,3.68,8.15,8.17
Israel,0.92,5.6,4.78,2.26,4.15,3.76,2.29,3.98,3.54,3.45
Italy,-5.28,1.71,0.71,-2.98,-1.84,-0.0,0.78,1.28,1.72,0.77
Jamaica,-4.34,-1.47,1.73,-0.61,0.5,0.69,0.92,1.38,1.0,1.94
Japan,-5.42,4.19,-0.12,1.5,2.0,0.37,1.22,0.61,1.93,0.79
Jordan,5.48,2.31,2.59,2.65,2.83,3.1,2.39,2.0,2.12,1.94
Kazakhstan,1.2,7.3,7.4,4.8,6.0,4.2,1.2,1.1,4.1,4.1
Kenya,3.31,8.41,6.11,4.56,5.88,5.36,5.72,5.88,4.86,6.32
Kiribati,0.8,-0.92,1.59,4.71,4.21,-0.7,10.41,5.13,0.33,2.0
"Korea, Rep.",0.71,6.5,3.68,2.29,2.9,3.34,2.79,2.93,3.06,2.67
Kosovo,3.6,3.31,4.38,2.81,3.44,1.22,4.1,4.07,4.23,3.81
Kuwait,-7.08,-2.37,9.63,6.63,1.15,0.5,0.59,2.93,-4.71,1.25
Kyrgyz Republic,2.89,-0.47,5.96,-0.2,10.9,4.0,3.9,4.3,4.7,3.5
Lao PDR,7.5,8.53,8.04,8.03,8.03,7.61,7.27,7.02,6.89,6.25
Latvia,-14.24,-4.47,6.29,4.13,2.33,1.92,3.26,1.77,3.79,4.62
Lebanon,10.05,8.04,0.92,2.72,2.62,1.88,0.42,1.61,0.55,0.2
Lesotho,2.15,6.43,6.63,5.9,2.16,2.82,2.72,3.22,-2.28,1.13
Liberia,5.3,6.1,8.2,7.99,8.7,0.7,0.0,-1.6,2.47,1.22
Libya,-0.79,5.02,-62.08,123.14,-13.6,-24.0,-8.86,-2.8,26.68,7.95
Lithuania,-14.81,1.48,6.03,3.83,3.56,3.51,2.03,2.56,4.25,3.64
Luxembourg,-4.36,4.86,2.54,-0.35,3.65,4.3,4.31,4.57,1.8,3.11
"Macao SAR, China",1.32,25.26,21.67,9.24,11.2,-1.2,-21.59,-0.72,9.89,5.44
Madagascar,-3.98,0.62,1.58,3.01,2.3,3.34,3.13,3.99,3.93,4.56
Malawi,8.33,6.87,4.85,1.89,5.2,5.7,2.8,2.48,4.0,3.5
Malaysia,-1.51,7.42,5.29,5.47,4.69,6.01,5.09,4.45,5.74,4.74
Maldives,-7.23,7.27,8.57,2.52,7.28,7.33,2.88,6.34,6.8,6.89
Mali,4.68,5.41,3.24,-0.84,2.3,7.04,5.96,5.8,5.4,4.9
Malta,-2.46,3.54,1.31,2.79,4.61,8.71,10.82,5.68,6.72,6.77
Marshall Islands,1.44,7.56,-0.76,-2.37,3.72,-0.94,1.59,1.31,4.06,3.62
Mauritania,-1.04,4.77,4.7,5.8,6.09,5.58,0.43,1.84,3.07,3.55
Mauritius,3.32,4.38,4.08,3.5,3.36,3.74,3.55,3.84,3.81,3.77
Mexico,-5.29,5.12,3.66,3.64,1.35,2.8,3.29,2.91,2.12,2.14
