Country,Capital City,City Latitude,City Longitude,Region,Income Group
Albania,Tirana,41.31588575,19.900912164461147,Europe & Central Asia,2
Andorra,Andorra la Vella,42.5069391,1.5212467,Europe & Central Asia,3
Antigua and Barbuda,St. John's,17.1184569,-61.8448509,Latin America & Caribbean,3
Argentina,Buenos Aires,-34.6075682,-58.4370894,Latin America & Caribbean,2
Aruba,Oranjestad,12.5268736,-70.0356845,Latin America & Caribbean,3
Austria,Vienna,48.2083537,16.3725042,Europe & Central Asia,3
Barbados,Bridgetown,13.0977832,-59.6184184,Latin America & Caribbean,3
Belarus,Minsk,53.902334,27.5618791,Europe & Central Asia,2
Belgium,Brussels,50.8436709,4.3674366933879565,Europe & Central Asia,3
Belize,Belmopan,17.250199,-88.770018,Latin America & Caribbean,2
Bermuda,Hamilton,32.2956076,-64.7827048,North America,3
Bosnia and Herzegovina,Sarajevo,43.8519774,18.3866868,Europe & Central Asia,2
Brazil,Brasília,-10.3333333,-53.2,Latin America & Caribbean,2
British Virgin Islands,Road Town,18.4257128,-64.6232227,Latin America & Caribbean,3
Bulgaria,Sofia,42.6978634,23.3221789,Europe & Central Asia,2
Canada,Ottawa,45.421106,-75.690308,North America,3
Cayman Islands,George Town,19.2953549,-81.3807776,Latin America & Caribbean,3
Chile,Santiago,-33.4377968,-70.6504451,Latin America & Caribbean,3
Colombia,Bogotá,4.59808,-74.0760439,Latin America & Caribbean,2
Costa Rica,San José,9.9325427,-84.0795782,Latin America & Caribbean,2
Croatia,Zagreb,45.813177,15.977048,Europe & Central Asia,3
Cuba,Havana,23.135305,-82.3589631,Latin America & Caribbean,2
Curaçao,Willemstad,12.1091242,-68.9316546,Latin America & Caribbean,3
Cyprus,Nicosia,35.1739302,33.364726,Europe & Central Asia,3
Czech Republic,Prague,50.0874654,14.4212535,Europe & Central Asia,3
Denmark,Copenhagen,55.6867243,12.5700724,Europe & Central Asia,3
Dominica,Roseau,15.2991923,-61.3872868,Latin America & Caribbean,2
Dominican Republic,Santo Domingo,18.4801972,-69.942111,Latin America & Caribbean,2
Ecuador,Quito,-0.2201641,-78.5123274,Latin America & Caribbean,2
El Salvador,San Salvador,13.6989939,-89.1914249,Latin America & Caribbean,1
Estonia,Tallinn,59.4372155,24.7453688,Europe & Central Asia,3
Faroe Islands,Tórshavn,62.012,-6.768,Europe & Central Asia,3
Finland,Helsinki,60.1674098,24.9425769,Europe & Central Asia,3
France,Paris,48.8566969,2.3514616,Europe & Central Asia,3
Germany,Berlin,52.5170365,13.3888599,Europe & Central Asia,3
Gibraltar,Gibraltar,36.10674695,-5.335277183483561,Europe & Central Asia,3
Greece,Athens,37.9839412,23.7283052,Europe & Central Asia,3
Greenland,Nuuk,64.175029,-51.7355386,Europe & Central Asia,3
Grenada,St. George's,12.0535331,-61.751805,Latin America & Caribbean,2
Guatemala,Guatemala City,14.6222328,-90.5185188,Latin America & Caribbean,2
Guyana,Georgetown,6.8025766,-58.1628612,Latin America & Caribbean,2
Haiti,Port-au-Prince,18.547327,-72.3395928,Latin America & Caribbean,0
Honduras,Tegucigalpa,14.0773859,-87.195419,Latin America & Caribbean,1
Hungary,Budapest,47.48138955,19.14607278448202,Europe & Central Asia,3
Iceland,Reykjavík,64.145981,-21.9422367,Europe & Central Asia,3
Ireland,Dublin,53.3497645,-6.2602732,Europe & Central Asia,3
Italy,Rome,41.8933203,12.4829321,Europe & Central Asia,3
Jamaica,Kingston,17.9712148,-76.7928128,Latin America & Caribbean,2
Latvia,Riga,56.9493977,24.1051846,Europe & Central Asia,3
Liechtenstein,Vaduz,47.1392862,9.5227962,Europe & Central Asia,3
Lithuania,Vilnius,54.6870458,25.2829111,Europe & Central Asia,3
Luxembourg,Luxembourg,49.6112768,6.129799,Europe & Central Asia,3
Mexico,Mexico City,19.4326296,-99.1331785,Latin America & Caribbean,2
Moldova,Chișinău,47.0244707,28.8322534,Europe & Central Asia,1
Monaco,Monaco,43.7311424,7.4197576,Europe & Central Asia,3
Montenegro,Podgorica,42.4415238,19.2621081,Europe & Central Asia,2
Netherlands,Amsterdam,52.3727598,4.8936041,Europe & Central Asia,3
Nicaragua,Managua,12.1459907,-86.2746665,Latin America & Caribbean,1
North Macedonia,Skopje,41.9960924,21.4316495,Europe & Central Asia,2
Norway,Oslo,59.9133301,10.7389701,Europe & Central Asia,3
Panama,Panama City,8.9714493,-79.5341802,Latin America & Caribbean,3
Paraguay,Asunción,-25.2800459,-57.6343814,Latin America & Caribbean,2
Peru,Lima,-12.0621065,-77.0365256,Latin America & Caribbean,2
Poland,Warsaw,52.2337172,21.07141112883227,Europe & Central Asia,3
Portugal,Lisbon,38.7077507,-9.1365919,Europe & Central Asia,3
Puerto Rico,San Juan,18.465299,-66.116666,Latin America & Caribbean,3
Romania,Bucharest,44.4361414,26.1027202,Europe & Central Asia,2
San Marino,San Marino,43.9458623,12.458306,Europe & Central Asia,3
Serbia,Belgrade,44.8178131,20.4568974,Europe & Central Asia,2
Slovenia,Ljubljana,46.0499803,14.5068602,Europe & Central Asia,3
Spain,Madrid,40.4167047,-3.7035825,Europe & Central Asia,3
Suriname,Paramaribo,5.8216091,-55.1770432,Latin America & Caribbean,2
Sweden,Stockholm,59.3251172,18.0710935,Europe & Central Asia,3
Switzerland,Bern,46.9482713,7.4514512,Europe & Central Asia,3
Trinidad and Tobago,Port of Spain,10.6572678,-61.5180173,Latin America & Caribbean,3
Turkey,Ankara,39.7160439,32.7059948,Europe & Central Asia,2
Turks and Caicos Islands,Cockburn Town,21.4607723,-71.1399956,Latin America & Caribbean,3
Ukraine,Kiev,50.4500336,30.5241361,Europe & Central Asia,1
United Kingdom,London,51.5073219,-0.1276474,Europe & Central Asia,3
United States,"Washington, D.C.",38.8948932,-77.0365529,North America,3
Uruguay,Montevideo,-34.9059039,-56.1913569,Latin America & Caribbean,3
Venezuela,Caracas,10.506098,-66.9146017,Latin America & Caribbean,2
