Country,Region,Income Group
Afghanistan,South Asia,0
Albania,Europe & Central Asia,2
Algeria,Middle East & North Africa,2
American Samoa,East Asia & Pacific,2
Andorra,Europe & Central Asia,3
Angola,Sub-Saharan Africa,1
Antigua and Barbuda,Latin America & Caribbean,3
Argentina,Latin America & Caribbean,2
Armenia,Europe & Central Asia,2
Aruba,Latin America & Caribbean,3
Australia,East Asia & Pacific,3
Austria,Europe & Central Asia,3
Azerbaijan,Europe & Central Asia,2
The Bahamas,Latin America & Caribbean,3
Bahrain,Middle East & North Africa,3
Bangladesh,South Asia,1
Barbados,Latin America & Caribbean,3
Belarus,Europe & Central Asia,2
Belgium,Europe & Central Asia,3
Belize,Latin America & Caribbean,2
Benin,Sub-Saharan Africa,0
Bermuda,North America,3
Bhutan,South Asia,1
Bolivia,Latin America & Caribbean,1
Bosnia and Herzegovina,Europe & Central Asia,2
Botswana,Sub-Saharan Africa,2
Brazil,Latin America & Caribbean,2
British Virgin Islands,Latin America & Caribbean,3
Brunei,East Asia & Pacific,3
Bulgaria,Europe & Central Asia,2
Burkina Faso,Sub-Saharan Africa,0
Burundi,Sub-Saharan Africa,0
Cabo Verde,Sub-Saharan Africa,1
Cambodia,East Asia & Pacific,1
Cameroon,Sub-Saharan Africa,1
Canada,North America,3
Cayman Islands,Latin America & Caribbean,3
Central African Republic,Sub-Saharan Africa,0
Chad,Sub-Saharan Africa,0
Channel Islands,Europe & Central Asia,3
Chile,Latin America & Caribbean,3
China,East Asia & Pacific,2
Colombia,Latin America & Caribbean,2
Comoros,Sub-Saharan Africa,1
Dem. Rep. Congo,Sub-Saharan Africa,0
Congo,Sub-Saharan Africa,1
Costa Rica,Latin America & Caribbean,2
Côte d'Ivoire,Sub-Saharan Africa,1
Croatia,Europe & Central Asia,3
Cuba,Latin America & Caribbean,2
Curaçao,Latin America & Caribbean,3
Cyprus,Europe & Central Asia,3
Czech Republic,Europe & Central Asia,3
Denmark,Europe & Central Asia,3
Djibouti,Middle East & North Africa,1
Dominica,Latin America & Caribbean,2
Dominican Republic,Latin America & Caribbean,2
Ecuador,Latin America & Caribbean,2
Egypt,Middle East & North Africa,1
El Salvador,Latin America & Caribbean,1
Equatorial Guinea,Sub-Saharan Africa,2
Eritrea,Sub-Saharan Africa,0
Estonia,Europe & Central Asia,3
Eswatini,Sub-Saharan Africa,1
Ethiopia,Sub-Saharan Africa,0
Faroe Islands,Europe & Central Asia,3
Fiji,East Asia & Pacific,2
Finland,Europe & Central Asia,3
France,Europe & Central Asia,3
French Polynesia,East Asia & Pacific,3
Gabon,Sub-Saharan Africa,2
The Gambia,Sub-Saharan Africa,0
Georgia,Europe & Central Asia,2
Germany,Europe & Central Asia,3
Ghana,Sub-Saharan Africa,1
Gibraltar,Europe & Central Asia,3
