,Cluster Label,Country,Capital City,GDP/Capita 2018
0,1,Monaco,Monaco,185741
1,1,Luxembourg,Luxembourg,116640
2,1,Switzerland,Bern,82797
3,1,Norway,Oslo,81697
4,1,Ireland,Dublin,78806
5,1,Iceland,Reykjavík,73191
6,1,United States,"Washington, D.C.",62795
7,1,Denmark,Copenhagen,61350
8,1,Sweden,Stockholm,54608
9,1,Netherlands,Amsterdam,53024
10,1,Austria,Vienna,51462
11,1,Finland,Helsinki,50152
12,1,Germany,Berlin,47603
13,1,Belgium,Brussels,47519
14,1,Canada,Ottawa,46233
15,1,United Kingdom,London,42944
16,1,Andorra,Andorra la Vella,42030
17,1,France,Paris,41464
18,1,Italy,Rome,34483
